Country,Population
Afghanistan,38041757
Albania,2862427
Algeria,43053054
American Samoa,55465
Andorra,76177
Angola,31825299
Anguilla,14872
Antigua and Barbuda,97115
Argentina,44780675
Armenia,2957728
Aruba,106310
Australia,25203200
Austria,8858775
Azerbaijan,10047719
Bahamas,389486
Bahrain,1641164
Bangladesh,163046173
Barbados,287021
Belarus,9452409
Belgium,11455519
Belize,390351
Benin,11801151
Bermuda,62508
Bhutan,763094
Bolivia (Plurinational State of),11513102
"Bonaire, Sint Eustatius and Saba",25983
Bosnia and Herzegovina,3300998
Botswana,2303703
Brazil,211049519
British Virgin Islands,30033
Brunei Darussalam,433296
Bulgaria,7000039
Burkina Faso,20321383
Burundi,11530577
Cabo Verde,549936
Cambodia,16486542
Cameroon,25876387
Canada,37411038
Cayman Islands,64948
Central African Republic,4745179
Chad,15946882
Chile,18952035
China,1433783692
Colombia,50339443
Comoros,850891
Congo,5380504
Cook Islands,17459
Costa Rica,5047561
Côte d’Ivoire,25716554
Croatia,4076246
Cuba,11333484
Curaçao,163423
Cyprus,875899
Czechia,10649800
Democratic People's Republic of Korea,25818914
Democratic Republic of the Congo,86790568
Denmark,5806081
Djibouti,973557
Dominica,71808
Dominican Republic,10738957
Ecuador,17373657
Egypt,100388076
El Salvador,6453550
Equatorial Guinea,1355982
Eritrea,3497117
Estonia,1324820
Eswatini,1148133
Ethiopia,112078727
Falkland Islands (Malvinas),3372
Faroe Islands,48677
Fiji,889955
Finland,5517919
France,67012883
French Guiana,290691
French Polynesia,279285
Gabon,2172578
Gambia,2347696
Georgia,3996762
Germany,83019213
Ghana,30417858
Gibraltar,33706
Greece,10724599
Greenland,56660
Grenada,112002
Guadeloupe,395700
Guam,167295
Guatemala,17581476
Guernsey,64468
Guinea,12771246
Guinea-Bissau,1874303
Guyana,782775
Haiti,11263079
Holy See,815
Honduras,9746115
Hungary,9772756
Iceland,356991
India,1366417756
Indonesia,270625567
Iran (Islamic Republic of),82913893
Iraq,39309789
Ireland,4904240
Isle of Man,84589
Israel,8519373
Italy,60359546
Jamaica,2948277
Japan,126860299
Jersey,107796
Jordan,10101697
Kazakhstan,18551428
Kenya,52573967
Kiribati,115847
Kosovo,1798506
Kuwait,4207077
Kyrgyzstan,6415851
Lao People's Democratic Republic,7169456
Latvia,1919968
Lebanon,6855709
Lesotho,2125267
Liberia,4937374
Libya,6777453
Liechtenstein,38378
Lithuania,2794184
Luxembourg,613894
Madagascar,26969306
Malawi,18628749
Malaysia,31949789
Maldives,530957
Mali,19658023
Malta,493559
Marshall Islands,58791
Martinique,376480
Mauritania,4525698
Mauritius,1269670
Mayotte,270372
Mexico,127575529
Micronesia (Federated States of),112640
Monaco,33085
Mongolia,3225166
Montenegro,622182
Montserrat,4991
Morocco,36471766
Mozambique,30366043
Myanmar,54045422
Namibia,2494524
Nauru,12704
Nepal,28608715
Netherlands,17282163
New Caledonia,282757
New Zealand,4783062
Nicaragua,6545503
Niger,23310719
Nigeria,200963603
Niue,1624
North Macedonia,2077132
Northern Mariana Islands (Commonwealth of the),56882
Norway,5328212
"Occupied Palestinian territory, incl. east Jerusalem",4981422
Oman,4974992
Pakistan,216565317
Palau,17907
Panama,4246440
Papua New Guinea,8776119
Paraguay,7044639
Peru,32510462
Philippines,108116622
Pitcairn Islands,67
Poland,37972812
Portugal,10276617
Puerto Rico,2933404
Qatar,2832071
Republic of Korea,51225321
Republic of Moldova,4043258
Réunion,859959
Romania,19414458
Russian Federation,145872260
Rwanda,12626938
Saint Barthélemy,9131
Saint Helena,6600
Saint Kitts and Nevis,52834
Saint Lucia,182795
Saint Martin,37264
Saint Pierre and Miquelon,5888
Saint Vincent and the Grenadines,110593
Samoa,196130
San Marino,34453
Sao Tome and Principe,215048
Saudi Arabia,34268529
Senegal,16296362
Serbia,6963764
Seychelles,97741
Sierra Leone,7813207
Singapore,5804343
Sint Maarten,42389
Slovakia,5450421
Slovenia,2080908
Solomon Islands,669821
Somalia,15442906
South Africa,58558267
South Sudan,11062114
Spain,46937060
Sri Lanka,21323734
Sudan,42813237
Suriname,581363
Sweden,10230185
Switzerland,8544527
Syrian Arab Republic,17070132
Tajikistan,9321023
Thailand,69625581
The United Kingdom,66647112
Timor-Leste,1293120
Togo,8082359
Tokelau,1411
Tonga,103197
Trinidad and Tobago,1394969
Tunisia,11694721
Turkey,82003882
Turkmenistan,6031187
Turks and Caicos Islands,38194
Tuvalu,11508
Uganda,44269587
Ukraine,43993643
United Arab Emirates,9770526
United Republic of Tanzania,58005461
United States of America,329064917
United States Virgin Islands,104579
Uruguay,3461731
Uzbekistan,32981715
Vanuatu,292680
Venezuela (Bolivarian Republic of),28515829
Viet Nam,96462108
Wallis and Futuna,15289
Yemen,29161922
Zambia,17861034
Zimbabwe,14645473
