Origin,Destination,Traffic
Afghanistan,Afghanistan,723430
Afghanistan,China,9949
Afghanistan,Iran,46495
Afghanistan,Kuwait,1646
Afghanistan,Russia,11169
Afghanistan,Saudi Arabia,36615
Afghanistan,United Arab Emirates,102280
Afghanistan,Uzbekistan,22191
Albania,Austria,184904
Albania,Greece,160
Albania,Israel,22364
Albania,Italy,401937
Albania,Lithuania,47
Albania,Switzerland,20014
Algeria,Algeria,2243185
Algeria,Austria,14256
Algeria,Belgium,105116
Algeria,Burkina Faso,24271
Algeria,Canada,143212
Algeria,Cape Verde,217
Algeria,China,39534
Algeria,Egypt,120315
Algeria,France,3414028
Algeria,Germany,136232
Algeria,Greece,776
Algeria,Guinea,83
Algeria,Hungary,8296
Algeria,Israel,62
Algeria,Italy,191562
Algeria,Jordan,50202
Algeria,Lebanon,24318
Algeria,Mali,42215
Algeria,Mauritania,33399
Algeria,Morocco,221627
Algeria,Niger,21154
Algeria,Portugal,26004
Algeria,Qatar,116248
Algeria,Russia,9400
Algeria,Saudi Arabia,268637
Algeria,Senegal,54461
Algeria,Spain,368765
Algeria,Switzerland,55140
Algeria,Tunisia,314063
Algeria,Turkey,635584
Algeria,United Arab Emirates,270194
Algeria,United Kingdom,130467
Angola,Angola,545635
Angola,Cape Verde,2159
Angola,Gabon,438
Angola,Kenya,5918
Angola,Mozambique,56658
Angola,Namibia,68971
Angola,Nigeria,10825
Angola,Portugal,620726
Angola,Sao Tome and Principe,20862
Angola,United Kingdom,98
Angola,Zambia,7796
Anguilla,Dominican Republic,3176
Anguilla,Saint Kitts and Nevis,5477
Anguilla,Sint Maarten,20206
Anguilla,United States of America,28983
Antigua and Barbuda,Barbados,62466
Antigua and Barbuda,British Virgin Islands,59012
Antigua and Barbuda,Canada,81802
Antigua and Barbuda,Dominica,44877
Antigua and Barbuda,Dominican Republic,4391
Antigua and Barbuda,Germany,3107
Antigua and Barbuda,Grenada,4883
Antigua and Barbuda,Guadeloupe,4519
Antigua and Barbuda,Guyana,13193
Antigua and Barbuda,Italy,305
Antigua and Barbuda,Jamaica,11594
Antigua and Barbuda,Montserrat,15695
Antigua and Barbuda,Saint Kitts and Nevis,55132
Antigua and Barbuda,Saint Lucia,30219
Antigua and Barbuda,Sint Maarten,52493
Antigua and Barbuda,Trinidad and Tobago,38208
Antigua and Barbuda,Turks and Caicos Islands,18392
Antigua and Barbuda,United Kingdom,198504
Antigua and Barbuda,United States of America,345059
Argentina,Argentina,15281997
Argentina,Bolivia,223408
Argentina,Brazil,3486303
Argentina,Canada,48263
Argentina,Chile,2193602
Argentina,Colombia,303594
Argentina,Cuba,10720
Argentina,Dominican Republic,114532
Argentina,Ecuador,5244
Argentina,Falkland Islands (Malvinas),472
Argentina,Germany,228438
Argentina,Italy,344349
Argentina,Mexico,210076
Argentina,New Zealand,100315
Argentina,Panama,454827
Argentina,Paraguay,283111
Argentina,Peru,861383
Argentina,Spain,976469
Argentina,Switzerland,60155
Argentina,Turkey,72533
Argentina,United Kingdom,356579
Argentina,United States of America,1400964
Argentina,Uruguay,386668
Armenia,Austria,77713
Armenia,Belarus,20233
Armenia,Bulgaria,2058
Armenia,Egypt,80864
Armenia,France,16341
Armenia,Georgia,96743
Armenia,Germany,1335
Armenia,Iran,57017
Armenia,Iraq,3985
Armenia,Israel,13528
Armenia,Kazakhstan,13531
Armenia,Poland,73727
Armenia,Romania,16219
Armenia,Russia,483684
Armenia,Turkey,67937
Armenia,Ukraine,166597
Armenia,United Arab Emirates,94628
